Date1,Sampling.Order,AR-STO1,SR8-STO1,CB-STO1,HP1-STO1,NB-STO1,SB-STO1,KAHO-STO1,WAI2-STO1,WAI2-NTO1,AR-NTO1,SR8-NTO1,CB-NTO1,HP1-NTO1,NB-NTO1,SB-NTO1,KAHO-NTO1
8/23/17,1,1.5,1,1.1,0.7,1.3,1,NA,NA,NA,1.4,0.9,1,0.6,1.2,0.9,NA
9/20/17,2,1.7,1.4,1.3,0.9,1.7,1.8,NA,NA,NA,1.8,1.5,1.4,1,1.8,1.9,NA
11/1/17,3,1.3,0.7,0.8,0.4,0.3,0.3,NA,NA,NA,1.4,0.8,0.9,0.5,0.4,0.4,NA
12/8/17,4,1,0.8,1,0.7,0.7,1.4,NA,NA,NA,1.1,0.9,1.1,0.8,0.8,1.5,NA
1/29/18,5,1.4,1.1,1.1,1.4,0.9,1.4,NA,NA,NA,1.1,0.8,0.8,1.1,0.6,1.1,NA
2/21/18,6,1.6,1.4,1.9,1.7,0.3,1.6,NA,NA,NA,0.9,0.7,1.2,1,-0.4,0.9,NA
3/28/18,7,1.3,0.8,0.6,1,0.9,1.3,NA,NA,NA,1.2,0.7,0.5,0.9,0.8,1.2,NA
5/1/18,8,0.9,0.6,0.6,0.9,0.7,1,NA,NA,NA,0.9,0.6,0.6,0.9,0.7,1,NA
6/1/18,9,1.4,0.3,0.2,0.9,0.5,0.5,NA,NA,NA,1.9,0.8,0.7,1.4,1,1,NA
6/19/18,10,0.9,0.4,0.4,0.2,0.6,0.5,NA,NA,NA,1.4,0.9,0.9,0.7,1.1,1,NA
7/23/18,11,1.2,0.5,0.7,1.2,1.2,1,NA,NA,NA,1.1,0.4,0.6,1.1,1.1,0.9,NA
9/11/18,12,1,0.3,0.4,1,0.6,0.4,NA,NA,NA,1.2,0.5,0.6,1.2,0.8,0.6,NA
10/11/18,13,1.5,0.7,1.1,1.6,1,1.5,NA,NA,NA,-0.4,-1.2,-0.8,-0.3,-0.9,-0.4,NA
11/9/18,14,1.4,1.4,1.5,0.9,0.9,1.3,NA,NA,NA,1.1,1.1,1.2,0.6,0.6,1,NA
1/11/19,15,1.2,0.9,1,1.2,0.3,1.2,NA,NA,NA,1.3,1,1.1,1.3,0.4,1.3,NA
2/25/19,16,1.7,1.4,1.6,2.2,1.7,1.3,NA,NA,NA,1.6,1.3,1.5,2.1,1.6,1.2,NA
3/21/19,17,1.2,0.2,0.3,0.5,0.3,0.5,NA,NA,NA,1.2,0.2,0.3,0.5,0.3,0.5,NA
4/22/19,18,-0.7,-0.3,-0.4,0,-0.7,-0.4,NA,NA,NA,-0.3,0.1,0,0.4,-0.3,0,NA
5/21/19,19,1,0.4,0.4,0.4,0.7,0.3,NA,NA,NA,1.3,0.7,0.7,0.7,1,0.6,NA
6/14/19,20,1.3,1,0.7,0.8,1.1,0.7,NA,NA,NA,1.3,1,0.7,0.8,1.1,0.7,NA
8/13/19,21,0.9,0.2,0.3,0.4,0.9,0,NA,NA,NA,1.3,0.6,0.7,0.8,1.3,0.4,NA
8/29/19,22,0.8,0.2,0.4,1.3,0.8,0.6,NA,NA,NA,0.9,0.3,0.5,1.4,0.9,0.7,NA
10/7/19,23,1.1,1.1,1,0.7,2.5,1.4,NA,NA,NA,1.1,1.1,1,0.7,2.5,1.4,NA
12/9/19,24,1,1.1,0.8,1,0.6,0.7,NA,NA,NA,1,1.1,0.8,1,0.6,0.7,NA
1/24/20,25,1.3,1,0.9,0.8,0.8,0.9,NA,NA,NA,1.2,0.9,0.8,0.7,0.7,0.8,NA
3/20/20,26,2.4,1.4,1.6,1.8,0.9,2,NA,NA,NA,2.1,1.1,1.3,1.5,0.6,1.7,NA
5/14/20,27,1.3,0.8,0,1,0.4,0.5,NA,NA,NA,1.3,0.8,0,1,0.4,0.5,NA
7/21/20,28,1.1,0,0.3,0.7,0.9,0.6,NA,NA,NA,1.2,0.1,0.4,0.8,1,0.7,NA
8/28/20,29,0.8,0.5,0.1,0.8,0.7,0.2,NA,NA,NA,0.9,0.6,0.2,0.9,0.8,0.3,NA
9/22/20,30,3.3,1.4,0.1,0.5,0.9,2.6,0.6,7.2,7.2,3.3,1.4,0.1,0.5,0.9,2.6,0.6
11/16/20,31,2,3.9,0.6,0.8,0.8,1.4,NA,NA,NA,1.9,3.8,0.5,0.7,0.7,1.3,NA
12/23/20,32,1.4,1.1,1.2,0.7,1.1,1.1,2.1,5.2,5.2,1.4,1.1,1.2,0.7,1.1,1.1,2.1
2/12/21,33,1.5,5.5,9.7,11.2,0.9,24.4,NA,NA,NA,1.5,5.5,9.7,11.2,0.9,24.4,NA
4/16/21,34,1.2,0.2,0.5,1.2,1,1.1,NA,NA,NA,1.1,0.1,0.4,1.1,0.9,1,NA
5/24/21,35,0.7,0.2,0.2,0.3,0.3,0.4,0.3,3.1,3.1,1.1,0.6,0.6,0.7,0.7,0.8,0.3
6/21/21,36,0.8,0.5,0.4,0.6,NA,0.3,0,10.6,11,0.6,0.3,0.2,0.4,NA,0.1,0.4